Starting pygame as no macOS has been detected
pygame 2.6.1 (SDL 2.28.4, Python 3.12.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5112270 function calls (4771430 primitive calls) in 7.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2776    0.004    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     3048    0.004    0.000    0.008    0.000 __init__.py:1029(__contains__)
      389    0.004    0.000    0.004    0.000 _compiler.py:386(_mk_bitmap)
     1275    0.004    0.000    0.026    0.000 util.py:732(eval_token)
      241    0.004    0.000    0.007    0.000 typing.py:1096(_generic_init_subclass)
        4    0.004    0.001    0.006    0.002 _codata.py:1503(parse_constants_2002to2014)
     4455    0.004    0.000    0.004    0.000 typing.py:478(__getattr__)
     3480    0.004    0.000    0.010    0.000 flexparser.py:787(from_string_and_config)
      136    0.004    0.000    0.019    0.000 utils.py:235(generate_model_signature)
     7289    0.004    0.000    0.004    0.000 {method '__exit__' of '_thread.RLock' objects}
      172    0.003    0.000    0.005    0.000 _model_construction.py:686(unpack_lenient_weakvaluedict)
      912    0.003    0.000    0.005    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      417    0.003    0.000    0.007    0.000 _compiler.py:467(_get_charset_prefix)
      172    0.003    0.000    0.081    0.000 _core_utils.py:565(validate_core_schema)
    19201    0.003    0.000    0.003    0.000 inspect.py:2765(name)
     1111    0.003    0.000    0.010    0.000 _std_types_schema.py:170(datetime_prepare_pydantic_annotations)
     3252    0.003    0.000    0.074    0.000 flexparser.py:936(opening_classes)
     1626    0.003    0.000    0.005    0.000 _compiler.py:216(_compile_charset)
     3116    0.003    0.000    0.073    0.000 contextlib.py:132(__enter__)
     5450    0.003    0.000    0.003    0.000 typing.py:1246(<genexpr>)
     5924    0.003    0.000    0.003    0.000 {method 'find' of 'bytearray' objects}
    11117    0.003    0.000    0.003    0.000 _config.py:208(tail)
     2995    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     8100    0.003    0.000    0.006    0.000 <frozen _collections_abc>:868(__iter__)
      327    0.003    0.000    0.011    0.000 util.py:830(operate)
      539    0.003    0.000    0.015    0.000 validators.py:698(find_validators)
      912    0.003    0.000    0.005    0.000 _typing_extra.py:117(is_namedtuple)
    11622    0.003    0.000    0.003    0.000 util.py:555(__getitem__)
       84    0.003    0.000    0.026    0.000 enum.py:528(__new__)
     3633    0.003    0.000    0.005    0.000 enum.py:1544(_get_value)
        1    0.003    0.003    0.010    0.010 packages.py:1(<module>)
     1276    0.003    0.000    0.003    0.000 _typing_extra.py:137(_check_classvar)
  448/433    0.003    0.000    0.100    0.000 _generate_schema.py:846(_match_generic_type)
      552    0.003    0.000    0.256    0.000 _parser.py:969(parse)
     2349    0.003    0.000    0.027    0.000 __init__.py:179(sub)
     1780    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:48(_new_module)
